"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.816715577,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.691752418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.46497131,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.074981114,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.066269651,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.615519517,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577084666,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.865439871,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.136144877,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.088439802,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.277019059,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.684937397,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.979420846,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.485912143,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.904627933,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.872744108,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.36840484,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.186409991,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.497127843,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.649124817,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.607538848,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.393353994,
